sector_id,sequence,dms_lat,dms_lon,decimal_lat,decimal_lon,distance_nm_from_radar,bearing_deg_from_radar,ring_nm_from_radar,certified_segment_to_next,source_file,source_section,verification_state,notes
MVA_FINAL_07_CORE_2000,1,"33°29'51""N","126°14'39""E",33.497500,126.244167,11.97,269.1,12,arc,public_derived_training_dataset,Final 07 core 2000 sector,chart_labeled_vertex,북서측 arc anchor.
MVA_FINAL_07_CORE_2000,2,"33°36'39""N","126°41'00""E",33.610833,126.683333,11.99,56.6,12,line,public_derived_training_dataset,Final 07 core 2000 sector,chart_labeled_vertex,북동측 labeled vertex.
MVA_FINAL_07_CORE_2000,3,"33°33'60""N","126°46'19""E",33.566667,126.771944,14.98,74.6,15,line,public_derived_training_dataset,Final 07 core 2000 sector,chart_labeled_vertex,동측 labeled vertex.
MVA_FINAL_07_CORE_2000,4,"33°30'03""N","126°28'60""E",33.500833,126.483333,0.01,157.6,,,public_derived_training_dataset,Final 07 core 2000 sector,chart_labeled_vertex,레이더 사이트 인접 anchor.
MVA_FINAL_25_EAST_3300,1,"33°33'60""N","126°46'19""E",33.566667,126.771944,14.98,74.6,15,line,public_derived_training_dataset,Final 25 east 3300 sector,chart_labeled_vertex,서측 labeled vertex.
MVA_FINAL_25_EAST_3300,2,"33°27'27""N","126°49'05""E",33.457500,126.818056,16.97,98.8,17,radial,public_derived_training_dataset,Final 25 east 3300 sector,chart_labeled_vertex,내측 labeled vertex.
MVA_FINAL_25_EAST_3300,3,"33°27'44""N","127°22'44""E",33.462222,127.378889,44.91,92.7,45,arc,public_derived_training_dataset,Final 25 east 3300 sector,chart_labeled_vertex,동측 상단 vertex.
MVA_FINAL_25_EAST_3300,4,"33°33'59""N","127°22'38""E",33.566389,127.377222,44.91,84.7,45,line,public_derived_training_dataset,Final 25 east 3300 sector,chart_labeled_vertex,TMA 공용 vertex.
MVA_MOUNTAIN_CORE_9000,1,"33°15'04""N","126°27'50""E",33.251111,126.463889,15.03,183.7,15,radial,public_derived_training_dataset,Mountain core 9000 sector,chart_labeled_vertex,서측 labeled vertex.
MVA_MOUNTAIN_CORE_9000,2,"33°13'04""N","126°27'41""E",33.217778,126.461389,17.04,183.7,17,line,public_derived_training_dataset,Mountain core 9000 sector,chart_labeled_vertex,서남측 labeled vertex.
