fix_id,category,raw_coordinate,latitude,longitude,authority_status,used_by_rwy07_star,used_by_rwy25_star,used_by_rwy07_sid,used_by_rwy25_sid,used_by_rwy31_sid,source_file,source_section,notes
AKPON,procedure_fix,"33°46'49.6""N 127°19'53.0""E",33.780444,127.331389,coordinate_verified,,,RNAV_AKPON_1E,RNAV_AKPON_1W,,public_derived_training_dataset,RNAV AKPON 1W / AKPON 1E coding table,
ATIMO,procedure_fix,"33°23'52.5""N 126°43'51.2""E",33.397917,126.730889,coordinate_verified,,,,RNAV_AKPON_1W | RNAV_TAMNA_3W,,public_derived_training_dataset,RNAV AKPON 1W coding table,
BIROM,procedure_fix,"33°47'33.9""N 126°23'09.8""E",33.79275,126.386056,coordinate_verified,RNAV_DOTOL_2P | RNAV_UPGOS_1P,,,,,public_derived_training_dataset,RNAV DOTOL 2P coding table,
CHUJA,procedure_fix,"33°59'47.3""N 126°35'00.2""E",33.996472,126.583389,coordinate_verified,RNAV_DOTOL_2P,,,,,public_derived_training_dataset,RNAV DOTOL 2P coding table,
CJU,procedure_fix,"33°23'04.6""N 126°37'26.8""E",33.384611,126.624111,coordinate_verified,RNAV_TAMNA_2P | RNAV_TOSAN_2P | RNAV_SOSDO_2P | RNAV_LIMDI_1P,RNAV_TOSAN_2M | RNAV_SOSDO_2M,RNAV_PANSI_2E | RNAV_LIMDI_1E | IPDAS_4K | CJU_5K,CJU_3L | IPDAS_1L,,public_derived_training_dataset,RNAV LIMDI 1P coding table,
DAKPI,procedure_fix,"33°24'11.7""N 125°53'19.1""E",33.40325,125.888639,coordinate_verified,RNAV_DOTOL_2P | RNAV_UPGOS_1P | RNAV_TAMNA_2P | RNAV_TOSAN_2P | RNAV_SOSDO_2P | RNAV_LIMDI_1P,,,,,public_derived_training_dataset,RNAV LIMDI 1P coding table,
DOKVU,procedure_fix,"33°54'49.8""N 127°00'19.2""E",33.913833,127.005333,coordinate_verified,,RNAV_DOTOL_2M | RNAV_UPGOS_2M | RNAV_TAMNA_2M | RNAV_TOSAN_2M | RNAV_SOSDO_2M | RNAV_LIMDI_2M,,,,public_derived_training_dataset,RNAV DOTOL 2M / UPGOS 2M / TAMNA 2M / TOSAN 2M / SOSDO 2M / LIMDI 2M coding table,
DOTOL,procedure_fix,"34°15'15.4""N 126°36'36.6""E",34.254278,126.610167,coordinate_verified,RNAV_DOTOL_2P,RNAV_DOTOL_2M,,,,public_derived_training_dataset,RNAV DOTOL 2P coding table,
DUKAL,procedure_fix,"33°38'58.6""N 126°45'38.8""E",33.649611,126.760778,coordinate_verified,,RNAV_DOTOL_2M | RNAV_UPGOS_2M | RNAV_TAMNA_2M | RNAV_TOSAN_2M | RNAV_SOSDO_2M | RNAV_LIMDI_2M,,,,public_derived_training_dataset,ILS Z / RNP Z / RNP Y RWY 25,
IPDAS,procedure_fix,"34°15'14.7""N 126°43'01.4""E",34.254083,126.717056,coordinate_verified,,,IPDAS_4K,RNAV_IPDAS_1W | IPDAS_1L,,public_derived_training_dataset,RNAV IPDAS 1W coding table,
KAMIT,procedure_fix,"34°15'14.1""N 126°46'17.7""E",34.253917,126.771583,coordinate_verified,,,RNAV_KAMIT_2E,RNAV_KAMIT_1W,,public_derived_training_dataset,RNAV KAMIT 1W / KAMIT 2E coding table,
KIBEK,procedure_fix,"34°03'22.7""N 127°10'02.9""E",34.056306,127.167472,coordinate_verified,,RNAV_UPGOS_2M,,,,public_derived_training_dataset,RNAV UPGOS 2M coding table,
LEDIN,procedure_fix,"33°32'42.1""N 126°10'14.9""E",33.545028,126.170806,coordinate_verified,,RNAV_LIMDI_2M,,RNAV_LIMDI_1W,,public_derived_training_dataset,RNAV LIMDI 1W coding table,
LIDVO,procedure_fix,"33°32'16.4""N 127°08'12.5""E",33.537889,127.136806,coordinate_verified,,RNAV_DOTOL_2M | RNAV_UPGOS_2M | RNAV_TAMNA_2M | RNAV_TOSAN_2M | RNAV_SOSDO_2M | RNAV_LIMDI_2M,,,,public_derived_training_dataset,RNAV DOTOL 2M / UPGOS 2M / TAMNA 2M / TOSAN 2M / SOSDO 2M / LIMDI 2M coding table,
LIMDI,procedure_fix,"33°33'13.3""N 125°49'53.0""E",33.553694,125.831389,coordinate_verified,RNAV_LIMDI_1P,RNAV_LIMDI_2M,RNAV_LIMDI_1E,RNAV_LIMDI_1W,,public_derived_training_dataset,RNAV LIMDI 1P coding table,
MAKET,procedure_fix,"33°54'52""N 127°19'53""E",33.914444,127.331389,coordinate_verified,,,MAKET_4K,,,public_derived_training_dataset,MAKET FOUR KILO DEPARTURE chart graphic,절차 코딩표가 아니라 chart graphic OCR 기반 1차 좌표다. 후속 검증 필요.
MANBA,procedure_fix,"33°43'39.9""N 126°19'24.0""E",33.72775,126.323333,coordinate_verified,RNAV_DOTOL_2P | RNAV_UPGOS_1P | RNAV_TAMNA_2P | RNAV_TOSAN_2P | RNAV_SOSDO_2P | RNAV_LIMDI_1P,,,,,public_derived_training_dataset,RNAV LIMDI 1P / holding procedure,
MEXER,procedure_fix,"33°27'28.0""N 126°23'12.0""E",33.457778,126.386667,coordinate_verified,,,,RNAV_KAMIT_1W | RNAV_IPDAS_1W | RNAV_LIMDI_1W,,public_derived_training_dataset,RNAV KAMIT 1W / IPDAS 1W coding table,
NUSLO,procedure_fix,"33°16'00.2""N 126°40'11.8""E",33.266722,126.669944,coordinate_verified,,RNAV_TOSAN_2M | RNAV_SOSDO_2M,,,,public_derived_training_dataset,RNAV SOSDO 2M coding table,
OLLEH,procedure_fix,"33°57'42.2""N 126°44'26.5""E",33.961722,126.740694,coordinate_verified,,,RNAV_KAMIT_2E,RNAV_KAMIT_1W,,public_derived_training_dataset,RNAV KAMIT 1W / KAMIT 2E coding table,
PALRI,procedure_fix,"33°38'27.2""N 126°44'37.4""E",33.640889,126.743722,coordinate_verified,,,RNAV_AKPON_1E | RNAV_TAMNA_2E | RNAV_PANSI_2E | RNAV_LIMDI_1E,,,public_derived_training_dataset,RNAV AKPON 1E / TAMNA 2E / PANSI 2E / LIMDI 1E coding tables,
PANSI,procedure_fix,"33°00'14.4""N 126°12'25.1""E",33.004,126.206972,coordinate_verified,,,RNAV_PANSI_2E,RNAV_PANSI_2W,,public_derived_training_dataset,RNAV PANSI 2E / PANSI 2W coding table,
PAPLU,procedure_fix,"33°34'41.3""N 127°03'36.5""E",33.578139,127.060139,coordinate_verified,,,,RNAV_AKPON_1W,,public_derived_training_dataset,RNAV AKPON 1W coding table,
PC621,procedure_fix,"33°44'27.4""N 126°13'28.9""E",33.740944,126.224694,coordinate_verified,RNAV_DOTOL_2P | RNAV_UPGOS_1P | RNAV_TAMNA_2P | RNAV_TOSAN_2P | RNAV_SOSDO_2P | RNAV_LIMDI_1P,,,,,public_derived_training_dataset,RNAV LIMDI 1P coding table,
PC622,procedure_fix,"33°43'46.4""N 126°07'32.6""E",33.729556,126.125722,coordinate_verified,RNAV_DOTOL_2P | RNAV_UPGOS_1P | RNAV_TAMNA_2P | RNAV_TOSAN_2P | RNAV_SOSDO_2P | RNAV_LIMDI_1P,,,,,public_derived_training_dataset,RNAV LIMDI 1P coding table,
PC623,procedure_fix,"33°41'40.2""N 126°02'06.2""E",33.6945,126.035056,coordinate_verified,RNAV_DOTOL_2P | RNAV_UPGOS_1P | RNAV_TAMNA_2P | RNAV_TOSAN_2P | RNAV_SOSDO_2P | RNAV_LIMDI_1P,,,,,public_derived_training_dataset,RNAV LIMDI 1P coding table,
PC624,procedure_fix,"33°38'19.9""N 125°57'38.2""E",33.638861,125.960611,coordinate_verified,RNAV_DOTOL_2P | RNAV_UPGOS_1P | RNAV_TAMNA_2P | RNAV_TOSAN_2P | RNAV_SOSDO_2P | RNAV_LIMDI_1P,,,,,public_derived_training_dataset,RNAV LIMDI 1P coding table,
PC625,procedure_fix,"33°34'03.1""N 125°54'31.8""E",33.567528,125.908833,coordinate_verified,RNAV_DOTOL_2P | RNAV_UPGOS_1P | RNAV_TAMNA_2P | RNAV_TOSAN_2P | RNAV_SOSDO_2P | RNAV_LIMDI_1P,,,,,public_derived_training_dataset,RNAV LIMDI 1P coding table,
